ORI_ZONE,DST_ZONE,normalized_count,hour,day,count
0.0,0.0,0.07237034946181553,0.0,5.0,1.0
0.0,0.0,0.07237034946181553,2.0,1.0,2.0
0.0,0.0,0.07237034946181553,3.0,5.0,1.0
0.0,0.0,0.07237034946181553,6.0,0.0,3.0
0.0,0.0,0.07237034946181553,6.0,1.0,3.0
0.0,0.0,0.07237034946181553,6.0,5.0,6.0
0.0,0.0,0.07237034946181553,7.0,0.0,5.0
0.0,0.0,0.07237034946181553,7.0,1.0,5.0
0.0,0.0,0.07237034946181553,7.0,5.0,6.0
0.0,0.0,0.07237034946181553,8.0,0.0,10.0
0.0,0.0,0.07237034946181553,8.0,1.0,15.0
0.0,0.0,0.07237034946181553,8.0,5.0,6.0
0.0,0.0,0.07237034946181553,8.0,6.0,4.0
0.0,0.0,0.07237034946181553,9.0,0.0,6.0
0.0,0.0,0.07237034946181553,9.0,1.0,9.0
0.0,0.0,0.07237034946181553,9.0,5.0,4.0
0.0,0.0,0.07237034946181553,9.0,6.0,3.0
0.0,0.0,0.07237034946181553,10.0,0.0,4.0
0.0,0.0,0.07237034946181553,10.0,1.0,9.0
0.0,0.0,0.07237034946181553,10.0,4.0,2.0
0.0,0.0,0.07237034946181553,10.0,5.0,4.0
0.0,0.0,0.07237034946181553,10.0,6.0,1.0
0.0,0.0,0.07237034946181553,11.0,0.0,6.0
0.0,0.0,0.07237034946181553,11.0,1.0,5.0
0.0,0.0,0.07237034946181553,11.0,4.0,5.0
0.0,0.0,0.07237034946181553,11.0,5.0,3.0
0.0,0.0,0.07237034946181553,11.0,6.0,3.0
0.0,0.0,0.07237034946181553,12.0,0.0,5.0
0.0,0.0,0.07237034946181553,12.0,1.0,8.0
0.0,0.0,0.07237034946181553,12.0,4.0,6.0
0.0,0.0,0.07237034946181553,12.0,5.0,3.0
0.0,0.0,0.07237034946181553,12.0,6.0,3.0
0.0,0.0,0.07237034946181553,13.0,0.0,5.0
0.0,0.0,0.07237034946181553,13.0,1.0,9.0
0.0,0.0,0.07237034946181553,13.0,4.0,4.0
0.0,0.0,0.07237034946181553,13.0,5.0,4.0
0.0,0.0,0.07237034946181553,13.0,6.0,1.0
0.0,0.0,0.07237034946181553,14.0,0.0,5.0
0.0,0.0,0.07237034946181553,14.0,1.0,9.0
0.0,0.0,0.07237034946181553,14.0,4.0,5.0
0.0,0.0,0.07237034946181553,14.0,5.0,7.0
0.0,0.0,0.07237034946181553,14.0,6.0,2.0
0.0,0.0,0.07237034946181553,15.0,0.0,2.0
0.0,0.0,0.07237034946181553,15.0,1.0,10.0
0.0,0.0,0.07237034946181553,15.0,4.0,5.0
0.0,0.0,0.07237034946181553,15.0,5.0,5.0
0.0,0.0,0.07237034946181553,16.0,0.0,6.0
0.0,0.0,0.07237034946181553,16.0,1.0,6.0
0.0,0.0,0.07237034946181553,16.0,4.0,2.0
0.0,0.0,0.07237034946181553,16.0,6.0,1.0
0.0,0.0,0.07237034946181553,17.0,0.0,1.0
0.0,0.0,0.07237034946181553,17.0,1.0,3.0
0.0,0.0,0.07237034946181553,17.0,5.0,3.0
0.0,0.0,0.07237034946181553,18.0,0.0,1.0
0.0,0.0,0.07237034946181553,18.0,1.0,1.0
0.0,0.0,0.07237034946181553,18.0,4.0,1.0
0.0,0.0,0.07237034946181553,18.0,5.0,6.0
0.0,0.0,0.07237034946181553,18.0,6.0,3.0
0.0,0.0,0.07237034946181553,19.0,0.0,2.0
0.0,0.0,0.07237034946181553,19.0,1.0,2.0
0.0,0.0,0.07237034946181553,19.0,4.0,6.0
0.0,0.0,0.07237034946181553,19.0,5.0,2.0
0.0,0.0,0.07237034946181553,19.0,6.0,1.0
0.0,0.0,0.07237034946181553,20.0,0.0,1.0
0.0,0.0,0.07237034946181553,20.0,1.0,3.0
0.0,0.0,0.07237034946181553,20.0,6.0,1.0
0.0,0.0,0.07237034946181553,21.0,0.0,1.0
0.0,0.0,0.07237034946181553,21.0,1.0,2.0
0.0,0.0,0.07237034946181553,21.0,4.0,2.0
0.0,0.0,0.07237034946181553,21.0,5.0,4.0
0.0,0.0,0.07237034946181553,21.0,6.0,1.0
0.0,0.0,0.07237034946181553,22.0,1.0,1.0
0.0,0.0,0.07237034946181553,22.0,4.0,1.0
0.0,0.0,0.07237034946181553,22.0,5.0,1.0
0.0,0.0,0.07237034946181553,23.0,6.0,2.0
0.0,1.0,0.04578869598886,2.0,6.0,1.0
0.0,1.0,0.04578869598886,6.0,0.0,1.0
0.0,1.0,0.04578869598886,6.0,1.0,1.0
0.0,1.0,0.04578869598886,6.0,5.0,1.0
0.0,1.0,0.04578869598886,7.0,5.0,1.0
0.0,1.0,0.04578869598886,8.0,0.0,4.0
0.0,1.0,0.04578869598886,8.0,1.0,3.0
0.0,1.0,0.04578869598886,8.0,5.0,2.0
0.0,1.0,0.04578869598886,9.0,0.0,1.0
0.0,1.0,0.04578869598886,9.0,1.0,1.0
0.0,1.0,0.04578869598886,9.0,5.0,4.0
0.0,1.0,0.04578869598886,9.0,6.0,1.0
0.0,1.0,0.04578869598886,10.0,0.0,1.0
0.0,1.0,0.04578869598886,10.0,5.0,3.0
0.0,1.0,0.04578869598886,11.0,0.0,1.0
0.0,1.0,0.04578869598886,11.0,1.0,4.0
0.0,1.0,0.04578869598886,11.0,4.0,3.0
0.0,1.0,0.04578869598886,11.0,5.0,1.0
0.0,1.0,0.04578869598886,11.0,6.0,1.0
0.0,1.0,0.04578869598886,12.0,0.0,3.0
0.0,1.0,0.04578869598886,12.0,1.0,3.0
0.0,1.0,0.04578869598886,12.0,4.0,3.0
0.0,1.0,0.04578869598886,12.0,5.0,1.0
0.0,1.0,0.04578869598886,12.0,6.0,1.0
0.0,1.0,0.04578869598886,13.0,0.0,1.0
0.0,1.0,0.04578869598886,13.0,1.0,2.0
0.0,1.0,0.04578869598886,13.0,4.0,1.0
0.0,1.0,0.04578869598886,13.0,6.0,1.0
0.0,1.0,0.04578869598886,14.0,0.0,3.0
0.0,1.0,0.04578869598886,14.0,1.0,3.0
0.0,1.0,0.04578869598886,14.0,4.0,5.0
0.0,1.0,0.04578869598886,14.0,6.0,1.0
0.0,1.0,0.04578869598886,15.0,0.0,3.0
0.0,1.0,0.04578869598886,15.0,1.0,2.0
0.0,1.0,0.04578869598886,15.0,4.0,3.0
0.0,1.0,0.04578869598886,15.0,5.0,1.0
0.0,1.0,0.04578869598886,15.0,6.0,2.0
0.0,1.0,0.04578869598886,16.0,1.0,3.0
0.0,1.0,0.04578869598886,16.0,4.0,1.0
0.0,1.0,0.04578869598886,16.0,5.0,2.0
0.0,1.0,0.04578869598886,17.0,1.0,5.0
0.0,1.0,0.04578869598886,17.0,4.0,1.0
0.0,1.0,0.04578869598886,17.0,5.0,2.0
0.0,1.0,0.04578869598886,18.0,0.0,1.0
0.0,1.0,0.04578869598886,18.0,1.0,1.0
0.0,1.0,0.04578869598886,18.0,4.0,1.0
0.0,1.0,0.04578869598886,18.0,5.0,1.0
0.0,1.0,0.04578869598886,18.0,6.0,1.0
