ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,7,2,2017-09-27,4,5.5101731571914646e-05
0.0,0.0,7,2,2017-10-04,4,5.5101731571914646e-05
0.0,0.0,7,2,2017-10-18,1,1.3775432892978662e-05
0.0,0.0,7,2,2017-10-25,4,5.5101731571914646e-05
0.0,0.0,7,3,2017-09-14,3,4.1326298678935985e-05
0.0,0.0,7,3,2017-09-28,4,5.5101731571914646e-05
0.0,0.0,7,3,2017-10-05,6,8.265259735787197e-05
0.0,0.0,7,3,2017-10-12,3,4.1326298678935985e-05
0.0,0.0,7,3,2017-10-19,4,5.5101731571914646e-05
0.0,0.0,7,3,2017-10-26,3,4.1326298678935985e-05
0.0,0.0,7,4,2017-09-01,1,1.3775432892978662e-05
0.0,0.0,7,4,2017-09-08,3,4.1326298678935985e-05
0.0,0.0,7,4,2017-09-22,7,9.642803025085063e-05
0.0,0.0,7,4,2017-09-29,2,2.7550865785957323e-05
0.0,0.0,7,4,2017-10-06,1,1.3775432892978662e-05
0.0,0.0,7,4,2017-10-13,4,5.5101731571914646e-05
0.0,0.0,7,4,2017-10-20,2,2.7550865785957323e-05
0.0,0.0,7,4,2017-10-27,2,2.7550865785957323e-05
0.0,0.0,7,5,2017-09-09,1,1.3775432892978662e-05
0.0,0.0,7,5,2017-09-23,1,1.3775432892978662e-05
0.0,0.0,7,5,2017-09-30,2,2.7550865785957323e-05
0.0,0.0,7,5,2017-10-07,2,2.7550865785957323e-05
0.0,0.0,7,5,2017-10-14,1,1.3775432892978662e-05
0.0,0.0,7,5,2017-10-21,1,1.3775432892978662e-05
0.0,0.0,7,5,2017-10-28,2,2.7550865785957323e-05
0.0,0.0,7,6,2017-09-17,1,1.3775432892978662e-05
0.0,0.0,7,6,2017-10-01,1,1.3775432892978662e-05
0.0,0.0,7,6,2017-10-15,1,1.3775432892978662e-05
0.0,0.0,7,6,2017-10-22,1,1.3775432892978662e-05
0.0,0.0,8,0,2017-09-11,1,1.3775432892978662e-05
0.0,0.0,8,0,2017-10-09,2,2.7550865785957323e-05
0.0,0.0,8,0,2017-10-16,1,1.3775432892978662e-05
0.0,0.0,8,0,2017-10-30,1,1.3775432892978662e-05
0.0,0.0,8,1,2017-09-12,2,2.7550865785957323e-05
0.0,0.0,8,1,2017-09-26,1,1.3775432892978662e-05
0.0,0.0,8,1,2017-10-10,1,1.3775432892978662e-05
0.0,0.0,8,1,2017-10-24,1,1.3775432892978662e-05
0.0,0.0,8,1,2017-10-31,2,2.7550865785957323e-05
0.0,0.0,8,2,2017-09-06,4,5.5101731571914646e-05
0.0,0.0,8,2,2017-09-13,1,1.3775432892978662e-05
0.0,0.0,8,2,2017-09-27,2,2.7550865785957323e-05
0.0,0.0,8,2,2017-10-04,1,1.3775432892978662e-05
0.0,0.0,8,2,2017-10-18,1,1.3775432892978662e-05
0.0,0.0,8,2,2017-10-25,3,4.1326298678935985e-05
0.0,0.0,8,3,2017-09-07,1,1.3775432892978662e-05
0.0,0.0,8,3,2017-09-21,2,2.7550865785957323e-05
0.0,0.0,8,3,2017-09-28,2,2.7550865785957323e-05
0.0,0.0,8,3,2017-10-12,1,1.3775432892978662e-05
0.0,0.0,8,3,2017-10-19,2,2.7550865785957323e-05
0.0,0.0,8,4,2017-09-01,1,1.3775432892978662e-05
0.0,0.0,8,4,2017-09-08,1,1.3775432892978662e-05
0.0,0.0,8,4,2017-09-15,1,1.3775432892978662e-05
0.0,0.0,8,4,2017-09-22,3,4.1326298678935985e-05
0.0,0.0,8,4,2017-09-29,2,2.7550865785957323e-05
0.0,0.0,8,4,2017-10-06,1,1.3775432892978662e-05
0.0,0.0,8,4,2017-10-20,4,5.5101731571914646e-05
0.0,0.0,8,5,2017-09-09,2,2.7550865785957323e-05
0.0,0.0,8,5,2017-09-16,3,4.1326298678935985e-05
0.0,0.0,8,5,2017-10-07,1,1.3775432892978662e-05
0.0,0.0,8,5,2017-10-14,3,4.1326298678935985e-05
0.0,0.0,8,5,2017-10-21,1,1.3775432892978662e-05
0.0,0.0,8,6,2017-09-17,1,1.3775432892978662e-05
0.0,0.0,8,6,2017-09-24,1,1.3775432892978662e-05
0.0,0.0,8,6,2017-10-08,1,1.3775432892978662e-05
0.0,0.0,8,6,2017-10-29,2,2.7550865785957323e-05
0.0,0.0,9,0,2017-09-11,3,4.1326298678935985e-05
0.0,0.0,9,0,2017-09-25,1,1.3775432892978662e-05
0.0,0.0,9,0,2017-10-23,1,1.3775432892978662e-05
0.0,0.0,9,0,2017-10-30,2,2.7550865785957323e-05
0.0,0.0,9,1,2017-09-19,2,2.7550865785957323e-05
0.0,0.0,9,1,2017-09-26,1,1.3775432892978662e-05
0.0,0.0,9,1,2017-10-03,1,1.3775432892978662e-05
0.0,0.0,9,1,2017-10-17,1,1.3775432892978662e-05
0.0,0.0,9,1,2017-10-24,1,1.3775432892978662e-05
0.0,0.0,9,2,2017-09-06,1,1.3775432892978662e-05
0.0,0.0,9,2,2017-09-27,2,2.7550865785957323e-05
0.0,0.0,9,2,2017-10-18,1,1.3775432892978662e-05
0.0,0.0,9,2,2017-10-25,2,2.7550865785957323e-05
0.0,0.0,9,3,2017-09-28,1,1.3775432892978662e-05
0.0,0.0,9,3,2017-10-26,1,1.3775432892978662e-05
0.0,0.0,9,4,2017-09-01,1,1.3775432892978662e-05
0.0,0.0,9,4,2017-09-08,1,1.3775432892978662e-05
0.0,0.0,9,4,2017-09-22,2,2.7550865785957323e-05
0.0,0.0,9,4,2017-09-29,1,1.3775432892978662e-05
0.0,0.0,9,4,2017-10-13,1,1.3775432892978662e-05
0.0,0.0,9,4,2017-10-20,1,1.3775432892978662e-05
0.0,0.0,9,4,2017-10-27,1,1.3775432892978662e-05
0.0,0.0,9,5,2017-09-16,1,1.3775432892978662e-05
0.0,0.0,9,5,2017-09-23,3,4.1326298678935985e-05
0.0,0.0,9,5,2017-09-30,1,1.3775432892978662e-05
0.0,0.0,9,5,2017-10-07,1,1.3775432892978662e-05
0.0,0.0,9,5,2017-10-14,3,4.1326298678935985e-05
0.0,0.0,9,5,2017-10-21,1,1.3775432892978662e-05
0.0,0.0,9,5,2017-10-28,2,2.7550865785957323e-05
0.0,0.0,9,6,2017-09-10,2,2.7550865785957323e-05
0.0,0.0,9,6,2017-09-17,1,1.3775432892978662e-05
0.0,0.0,9,6,2017-10-01,2,2.7550865785957323e-05
0.0,0.0,9,6,2017-10-08,1,1.3775432892978662e-05
0.0,0.0,9,6,2017-10-22,2,2.7550865785957323e-05
0.0,0.0,9,6,2017-10-29,2,2.7550865785957323e-05
0.0,0.0,10,0,2017-09-11,2,2.7550865785957323e-05
0.0,0.0,10,0,2017-09-18,2,2.7550865785957323e-05
0.0,0.0,10,0,2017-09-25,1,1.3775432892978662e-05
0.0,0.0,10,0,2017-10-09,1,1.3775432892978662e-05
0.0,0.0,10,0,2017-10-16,1,1.3775432892978662e-05
0.0,0.0,10,0,2017-10-23,2,2.7550865785957323e-05
0.0,0.0,10,1,2017-09-05,1,1.3775432892978662e-05
0.0,0.0,10,1,2017-09-12,2,2.7550865785957323e-05
0.0,0.0,10,1,2017-09-19,2,2.7550865785957323e-05
0.0,0.0,10,1,2017-09-26,1,1.3775432892978662e-05
0.0,0.0,10,1,2017-10-03,2,2.7550865785957323e-05
0.0,0.0,10,1,2017-10-10,4,5.5101731571914646e-05
0.0,0.0,10,1,2017-10-17,3,4.1326298678935985e-05
0.0,0.0,10,2,2017-09-06,2,2.7550865785957323e-05
0.0,0.0,10,2,2017-09-13,2,2.7550865785957323e-05
0.0,0.0,10,2,2017-09-20,1,1.3775432892978662e-05
0.0,0.0,10,2,2017-10-04,1,1.3775432892978662e-05
0.0,0.0,10,2,2017-10-11,3,4.1326298678935985e-05
0.0,0.0,10,2,2017-10-18,1,1.3775432892978662e-05
0.0,0.0,10,2,2017-10-25,1,1.3775432892978662e-05
0.0,0.0,10,3,2017-09-07,1,1.3775432892978662e-05
0.0,0.0,10,3,2017-09-14,4,5.5101731571914646e-05
0.0,0.0,10,3,2017-09-21,1,1.3775432892978662e-05
0.0,0.0,10,3,2017-09-28,1,1.3775432892978662e-05
0.0,0.0,10,3,2017-10-12,1,1.3775432892978662e-05
0.0,0.0,10,3,2017-10-19,4,5.5101731571914646e-05
0.0,0.0,10,3,2017-10-26,1,1.3775432892978662e-05
0.0,0.0,10,4,2017-09-01,3,4.1326298678935985e-05
0.0,0.0,10,4,2017-09-22,4,5.5101731571914646e-05
0.0,0.0,10,4,2017-09-29,3,4.1326298678935985e-05
0.0,0.0,10,4,2017-10-13,1,1.3775432892978662e-05
0.0,0.0,10,4,2017-10-20,6,8.265259735787197e-05
0.0,0.0,10,4,2017-10-27,5,6.887716446489331e-05
0.0,0.0,10,5,2017-09-09,1,1.3775432892978662e-05
0.0,0.0,10,5,2017-09-23,2,2.7550865785957323e-05
0.0,0.0,10,5,2017-10-07,1,1.3775432892978662e-05
0.0,0.0,10,5,2017-10-14,2,2.7550865785957323e-05
0.0,0.0,10,5,2017-10-21,2,2.7550865785957323e-05
0.0,0.0,10,5,2017-10-28,6,8.265259735787197e-05
0.0,0.0,10,6,2017-09-10,4,5.5101731571914646e-05
0.0,0.0,10,6,2017-09-17,2,2.7550865785957323e-05
0.0,0.0,10,6,2017-09-24,2,2.7550865785957323e-05
0.0,0.0,10,6,2017-10-01,1,1.3775432892978662e-05
0.0,0.0,10,6,2017-10-08,1,1.3775432892978662e-05
0.0,0.0,10,6,2017-10-15,2,2.7550865785957323e-05
0.0,0.0,10,6,2017-10-22,2,2.7550865785957323e-05
0.0,0.0,10,6,2017-10-29,2,2.7550865785957323e-05
0.0,0.0,11,0,2017-09-18,2,2.7550865785957323e-05
0.0,0.0,11,0,2017-09-25,4,5.5101731571914646e-05
0.0,0.0,11,0,2017-10-16,4,5.5101731571914646e-05
0.0,0.0,11,0,2017-10-23,3,4.1326298678935985e-05
0.0,0.0,11,0,2017-10-30,1,1.3775432892978662e-05
0.0,0.0,11,1,2017-09-12,3,4.1326298678935985e-05
0.0,0.0,11,1,2017-09-19,3,4.1326298678935985e-05
0.0,0.0,11,1,2017-09-26,2,2.7550865785957323e-05
0.0,0.0,11,1,2017-10-10,1,1.3775432892978662e-05
0.0,0.0,11,1,2017-10-17,1,1.3775432892978662e-05
0.0,0.0,11,1,2017-10-24,2,2.7550865785957323e-05
0.0,0.0,11,1,2017-10-31,1,1.3775432892978662e-05
0.0,0.0,11,2,2017-09-06,1,1.3775432892978662e-05
0.0,0.0,11,2,2017-09-13,1,1.3775432892978662e-05
0.0,0.0,11,2,2017-09-20,4,5.5101731571914646e-05
0.0,0.0,11,2,2017-09-27,1,1.3775432892978662e-05
0.0,0.0,11,2,2017-10-04,3,4.1326298678935985e-05
0.0,0.0,11,2,2017-10-11,2,2.7550865785957323e-05
0.0,0.0,11,2,2017-10-18,1,1.3775432892978662e-05
0.0,0.0,11,2,2017-10-25,1,1.3775432892978662e-05
0.0,0.0,11,3,2017-09-14,2,2.7550865785957323e-05
0.0,0.0,11,3,2017-09-21,8,0.00011020346314382929
0.0,0.0,11,3,2017-09-28,3,4.1326298678935985e-05
0.0,0.0,11,3,2017-10-05,2,2.7550865785957323e-05
0.0,0.0,11,3,2017-10-12,2,2.7550865785957323e-05
0.0,0.0,11,3,2017-10-26,1,1.3775432892978662e-05
0.0,0.0,11,4,2017-09-01,5,6.887716446489331e-05
0.0,0.0,11,4,2017-09-08,2,2.7550865785957323e-05
0.0,0.0,11,4,2017-09-15,3,4.1326298678935985e-05
0.0,0.0,11,4,2017-09-22,2,2.7550865785957323e-05
0.0,0.0,11,4,2017-09-29,4,5.5101731571914646e-05
0.0,0.0,11,4,2017-10-13,1,1.3775432892978662e-05
0.0,0.0,11,4,2017-10-27,4,5.5101731571914646e-05
0.0,0.0,11,5,2017-09-09,2,2.7550865785957323e-05
0.0,0.0,11,5,2017-09-16,3,4.1326298678935985e-05
0.0,0.0,11,5,2017-09-30,3,4.1326298678935985e-05
0.0,0.0,11,5,2017-10-07,2,2.7550865785957323e-05
0.0,0.0,11,5,2017-10-14,4,5.5101731571914646e-05
0.0,0.0,11,5,2017-10-21,2,2.7550865785957323e-05
0.0,0.0,11,5,2017-10-28,2,2.7550865785957323e-05
0.0,0.0,11,6,2017-09-10,4,5.5101731571914646e-05
0.0,0.0,11,6,2017-09-17,4,5.5101731571914646e-05
0.0,0.0,11,6,2017-09-24,4,5.5101731571914646e-05
0.0,0.0,11,6,2017-10-01,2,2.7550865785957323e-05
0.0,0.0,11,6,2017-10-08,2,2.7550865785957323e-05
0.0,0.0,11,6,2017-10-15,3,4.1326298678935985e-05
0.0,0.0,11,6,2017-10-22,2,2.7550865785957323e-05
0.0,0.0,11,6,2017-10-29,3,4.1326298678935985e-05
0.0,0.0,12,0,2017-09-11,2,2.7550865785957323e-05
0.0,0.0,12,0,2017-09-18,3,4.1326298678935985e-05
0.0,0.0,12,0,2017-09-25,3,4.1326298678935985e-05
0.0,0.0,12,0,2017-10-16,5,6.887716446489331e-05
0.0,0.0,12,0,2017-10-23,1,1.3775432892978662e-05
0.0,0.0,12,0,2017-10-30,1,1.3775432892978662e-05
0.0,0.0,12,1,2017-09-05,1,1.3775432892978662e-05
0.0,0.0,12,1,2017-09-19,1,1.3775432892978662e-05
0.0,0.0,12,1,2017-09-26,3,4.1326298678935985e-05
0.0,0.0,12,1,2017-10-03,2,2.7550865785957323e-05
0.0,0.0,12,1,2017-10-10,3,4.1326298678935985e-05
0.0,0.0,12,1,2017-10-17,3,4.1326298678935985e-05
0.0,0.0,12,1,2017-10-24,1,1.3775432892978662e-05
0.0,0.0,12,1,2017-10-31,3,4.1326298678935985e-05
0.0,0.0,12,2,2017-09-06,2,2.7550865785957323e-05
0.0,0.0,12,2,2017-09-13,1,1.3775432892978662e-05
0.0,0.0,12,2,2017-09-20,2,2.7550865785957323e-05
0.0,0.0,12,2,2017-09-27,2,2.7550865785957323e-05
0.0,0.0,12,2,2017-10-04,3,4.1326298678935985e-05
0.0,0.0,12,2,2017-10-11,5,6.887716446489331e-05
0.0,0.0,12,2,2017-10-25,1,1.3775432892978662e-05
0.0,0.0,12,3,2017-09-14,4,5.5101731571914646e-05
0.0,0.0,12,3,2017-09-21,3,4.1326298678935985e-05
0.0,0.0,12,3,2017-09-28,2,2.7550865785957323e-05
0.0,0.0,12,3,2017-10-05,2,2.7550865785957323e-05
0.0,0.0,12,3,2017-10-12,1,1.3775432892978662e-05
0.0,0.0,12,3,2017-10-19,1,1.3775432892978662e-05
0.0,0.0,12,4,2017-09-01,2,2.7550865785957323e-05
0.0,0.0,12,4,2017-09-08,4,5.5101731571914646e-05
0.0,0.0,12,4,2017-09-15,2,2.7550865785957323e-05
0.0,0.0,12,4,2017-09-22,3,4.1326298678935985e-05
0.0,0.0,12,4,2017-09-29,4,5.5101731571914646e-05
0.0,0.0,12,4,2017-10-13,2,2.7550865785957323e-05
0.0,0.0,12,4,2017-10-20,3,4.1326298678935985e-05
0.0,0.0,12,5,2017-09-09,1,1.3775432892978662e-05
0.0,0.0,12,5,2017-09-23,1,1.3775432892978662e-05
0.0,0.0,12,5,2017-10-14,2,2.7550865785957323e-05
0.0,0.0,12,5,2017-10-21,2,2.7550865785957323e-05
0.0,0.0,12,5,2017-10-28,1,1.3775432892978662e-05
0.0,0.0,12,6,2017-09-10,3,4.1326298678935985e-05
0.0,0.0,12,6,2017-09-24,1,1.3775432892978662e-05
0.0,0.0,12,6,2017-10-08,1,1.3775432892978662e-05
0.0,0.0,12,6,2017-10-15,3,4.1326298678935985e-05
0.0,0.0,12,6,2017-10-29,2,2.7550865785957323e-05
0.0,0.0,13,0,2017-09-25,2,2.7550865785957323e-05
0.0,0.0,13,0,2017-10-09,1,1.3775432892978662e-05
0.0,0.0,13,0,2017-10-16,2,2.7550865785957323e-05
0.0,0.0,13,0,2017-10-23,3,4.1326298678935985e-05
0.0,0.0,13,0,2017-10-30,1,1.3775432892978662e-05
0.0,0.0,13,1,2017-09-12,3,4.1326298678935985e-05
0.0,0.0,13,1,2017-10-03,2,2.7550865785957323e-05
0.0,0.0,13,1,2017-10-10,2,2.7550865785957323e-05
0.0,0.0,13,1,2017-10-17,3,4.1326298678935985e-05
0.0,0.0,13,1,2017-10-24,3,4.1326298678935985e-05
0.0,0.0,13,1,2017-10-31,1,1.3775432892978662e-05
0.0,0.0,13,2,2017-09-06,2,2.7550865785957323e-05
0.0,0.0,13,2,2017-09-13,1,1.3775432892978662e-05
0.0,0.0,13,2,2017-09-20,4,5.5101731571914646e-05
0.0,0.0,13,2,2017-09-27,4,5.5101731571914646e-05
0.0,0.0,13,2,2017-10-11,3,4.1326298678935985e-05
0.0,0.0,13,2,2017-10-18,2,2.7550865785957323e-05
0.0,0.0,13,2,2017-10-25,1,1.3775432892978662e-05
0.0,0.0,13,3,2017-09-14,4,5.5101731571914646e-05
0.0,0.0,13,3,2017-09-21,1,1.3775432892978662e-05
0.0,0.0,13,3,2017-09-28,2,2.7550865785957323e-05
0.0,0.0,13,3,2017-10-05,1,1.3775432892978662e-05
0.0,0.0,13,3,2017-10-12,4,5.5101731571914646e-05
0.0,0.0,13,4,2017-09-01,3,4.1326298678935985e-05
0.0,0.0,13,4,2017-09-08,1,1.3775432892978662e-05
0.0,0.0,13,4,2017-09-15,1,1.3775432892978662e-05
0.0,0.0,13,4,2017-09-22,1,1.3775432892978662e-05
0.0,0.0,13,4,2017-09-29,2,2.7550865785957323e-05
0.0,0.0,13,4,2017-10-06,2,2.7550865785957323e-05
0.0,0.0,13,4,2017-10-13,3,4.1326298678935985e-05
0.0,0.0,13,4,2017-10-20,2,2.7550865785957323e-05
0.0,0.0,13,4,2017-10-27,4,5.5101731571914646e-05
0.0,0.0,13,5,2017-09-09,3,4.1326298678935985e-05
0.0,0.0,13,5,2017-09-23,1,1.3775432892978662e-05
0.0,0.0,13,5,2017-09-30,1,1.3775432892978662e-05
0.0,0.0,13,5,2017-10-21,1,1.3775432892978662e-05
0.0,0.0,13,5,2017-10-28,1,1.3775432892978662e-05
0.0,0.0,13,6,2017-09-10,2,2.7550865785957323e-05
0.0,0.0,13,6,2017-09-17,1,1.3775432892978662e-05
