ORI_ZONE,DST_ZONE,hour,day,date,count,probability
0.0,0.0,6,4,2017-10-27,2,2.209798245420193e-05
0.0,0.0,6,5,2017-09-16,1,1.1048991227100966e-05
0.0,0.0,6,5,2017-09-23,2,2.209798245420193e-05
0.0,0.0,6,5,2017-09-30,3,3.31469736813029e-05
0.0,0.0,6,5,2017-10-07,1,1.1048991227100966e-05
0.0,0.0,6,5,2017-10-14,1,1.1048991227100966e-05
0.0,0.0,6,5,2017-10-21,1,1.1048991227100966e-05
0.0,0.0,6,6,2017-09-17,2,2.209798245420193e-05
0.0,0.0,6,6,2017-10-01,2,2.209798245420193e-05
0.0,0.0,6,6,2017-10-22,1,1.1048991227100966e-05
0.0,0.0,7,0,2017-09-11,2,2.209798245420193e-05
0.0,0.0,7,0,2017-09-18,2,2.209798245420193e-05
0.0,0.0,7,0,2017-09-25,4,4.419596490840386e-05
0.0,0.0,7,0,2017-10-09,1,1.1048991227100966e-05
0.0,0.0,7,0,2017-10-23,8,8.839192981680772e-05
0.0,0.0,7,1,2017-09-12,3,3.31469736813029e-05
0.0,0.0,7,1,2017-09-19,2,2.209798245420193e-05
0.0,0.0,7,1,2017-09-26,11,0.00012153890349811062
0.0,0.0,7,1,2017-10-03,5,5.524495613550483e-05
0.0,0.0,7,1,2017-10-10,7,7.734293858970676e-05
0.0,0.0,7,1,2017-10-17,1,1.1048991227100966e-05
0.0,0.0,7,1,2017-10-24,5,5.524495613550483e-05
0.0,0.0,7,2,2017-09-06,2,2.209798245420193e-05
0.0,0.0,7,2,2017-09-13,3,3.31469736813029e-05
0.0,0.0,7,2,2017-09-20,5,5.524495613550483e-05
0.0,0.0,7,2,2017-10-04,3,3.31469736813029e-05
0.0,0.0,7,2,2017-10-11,3,3.31469736813029e-05
0.0,0.0,7,2,2017-10-18,7,7.734293858970676e-05
0.0,0.0,7,2,2017-10-25,2,2.209798245420193e-05
0.0,0.0,7,3,2017-09-07,4,4.419596490840386e-05
0.0,0.0,7,3,2017-09-14,5,5.524495613550483e-05
0.0,0.0,7,3,2017-09-21,1,1.1048991227100966e-05
0.0,0.0,7,3,2017-10-05,3,3.31469736813029e-05
0.0,0.0,7,3,2017-10-12,8,8.839192981680772e-05
0.0,0.0,7,3,2017-10-19,2,2.209798245420193e-05
0.0,0.0,7,3,2017-10-26,5,5.524495613550483e-05
0.0,0.0,7,4,2017-09-01,4,4.419596490840386e-05
0.0,0.0,7,4,2017-09-08,3,3.31469736813029e-05
0.0,0.0,7,4,2017-09-15,1,1.1048991227100966e-05
0.0,0.0,7,4,2017-09-22,1,1.1048991227100966e-05
0.0,0.0,7,4,2017-10-06,1,1.1048991227100966e-05
0.0,0.0,7,4,2017-10-13,6,6.62939473626058e-05
0.0,0.0,7,4,2017-10-20,5,5.524495613550483e-05
0.0,0.0,7,4,2017-10-27,2,2.209798245420193e-05
0.0,0.0,7,5,2017-09-09,3,3.31469736813029e-05
0.0,0.0,7,5,2017-09-16,2,2.209798245420193e-05
0.0,0.0,7,5,2017-09-23,1,1.1048991227100966e-05
0.0,0.0,7,5,2017-09-30,1,1.1048991227100966e-05
0.0,0.0,7,5,2017-10-07,1,1.1048991227100966e-05
0.0,0.0,7,5,2017-10-21,2,2.209798245420193e-05
0.0,0.0,7,5,2017-10-28,6,6.62939473626058e-05
0.0,0.0,7,6,2017-09-17,1,1.1048991227100966e-05
0.0,0.0,7,6,2017-10-01,1,1.1048991227100966e-05
0.0,0.0,7,6,2017-10-15,1,1.1048991227100966e-05
0.0,0.0,8,0,2017-09-11,4,4.419596490840386e-05
0.0,0.0,8,0,2017-09-18,6,6.62939473626058e-05
0.0,0.0,8,0,2017-09-25,4,4.419596490840386e-05
0.0,0.0,8,0,2017-10-09,2,2.209798245420193e-05
0.0,0.0,8,0,2017-10-16,2,2.209798245420193e-05
0.0,0.0,8,0,2017-10-23,3,3.31469736813029e-05
0.0,0.0,8,1,2017-09-12,7,7.734293858970676e-05
0.0,0.0,8,1,2017-09-19,3,3.31469736813029e-05
0.0,0.0,8,1,2017-09-26,5,5.524495613550483e-05
0.0,0.0,8,1,2017-10-03,7,7.734293858970676e-05
0.0,0.0,8,1,2017-10-10,4,4.419596490840386e-05
0.0,0.0,8,1,2017-10-24,1,1.1048991227100966e-05
0.0,0.0,8,2,2017-09-06,4,4.419596490840386e-05
0.0,0.0,8,2,2017-09-13,1,1.1048991227100966e-05
0.0,0.0,8,2,2017-09-20,3,3.31469736813029e-05
0.0,0.0,8,2,2017-09-27,6,6.62939473626058e-05
0.0,0.0,8,2,2017-10-04,1,1.1048991227100966e-05
0.0,0.0,8,2,2017-10-11,7,7.734293858970676e-05
0.0,0.0,8,2,2017-10-18,5,5.524495613550483e-05
0.0,0.0,8,2,2017-10-25,5,5.524495613550483e-05
0.0,0.0,8,3,2017-09-07,6,6.62939473626058e-05
